Date,Year,NG Price,Annual NG Price,Factor,Month
2019-01-15,2019,4.16,2.99,1.391304347826087,01
2019-02-15,2019,3.78,2.99,1.2642140468227423,02
2019-03-15,2019,3.6,2.99,1.2040133779264213,03
2019-04-15,2019,2.99,2.99,1,04
2019-05-15,2019,2.85,2.99,0.9531772575250835,05
2019-06-15,2019,2.66,2.99,0.8896321070234113,06
2019-07-15,2019,2.63,2.99,0.8795986622073577,07
2019-08-15,2019,2.5,2.99,0.8361204013377925,08
2019-09-15,2019,2.68,2.99,0.8963210702341137,09
2019-10-15,2019,2.58,2.99,0.862876254180602,10
2019-11-15,2019,3.08,2.99,1.0301003344481605,11
2019-12-15,2019,3.04,2.99,1.0167224080267558,12
